Name,Tm,R,HR,RBI,SB,OBP
Aramis Garcia,Arizona,0,0,0,0,0.0
Jhostynxon Garcia,Boston,0,0,0,0,0.333
Luis Garc\xc3\xada Jr.,Washington,67,16,66,14,0.289
Maikel Garcia,Kansas City,81,16,74,22,0.351
Mitch Garver,Seattle,29,9,31,3,0.298
Mickey Gasper,Minnesota,15,2,11,2,0.257
Zack Gelof,Athletics,12,2,7,1,0.23
Drew Gilbert,San Francisco,12,3,13,1,0.248
Andr\xc3\xa9s Gim\xc3\xa9nez,Toronto,49,9,47,13,0.286
Paul Goldschmidt,New York,77,10,45,5,0.332
Nick Gonzales,Pittsburgh,39,5,30,0,0.299
Oscar Gonz\xc3\xa1lez,San Diego,2,0,4,0,0.246
Romy Gonzalez,Boston,47,9,53,6,0.337
Hunter Goodman,Colorado,73,31,91,1,0.323
Nolan Gorman,St. Louis,48,14,46,1,0.296
Matt Gorski,Pittsburgh,2,2,4,0,0.214
Tristan Gray,Tampa Bay,9,3,9,0,0.282
Riley Greene,Detroit,88,37,113,2,0.31
Randal Grichuk,"Arizona,Kansas City",35,9,27,0,0.273
Trent Grisham,New York,91,34,74,4,0.341
Vladimir Guerrero Jr.,Toronto,114,31,99,6,0.394
Luis Guillorme,Houston,2,0,0,0,0.19
Lourdes Gurriel Jr.,Arizona,52,19,80,10,0.295
Yuli Gurriel,San Diego,2,0,3,0,0.2
Denzer Guzman,Los Angeles,4,2,3,0,0.209
Eric Haase,Milwaukee,11,2,9,0,0.289
Sam Haggerty,Texas,31,2,13,12,0.328
Petey Halpin,Cleveland,5,0,0,0,0.5
David Hamilton,Boston,27,6,19,22,0.257
Garrett Hampson,"Arizona,Cincinnati,St. Louis",19,0,1,3,0.25
Maverick Handley,Baltimore,2,0,3,0,0.133
Ian Happ,Chicago,90,25,83,6,0.334
Bryce Harper,Philadelphia,73,27,75,12,0.356
Brett Harris,Athletics,11,0,5,1,0.349
Dustin Harris,Texas,5,1,2,1,0.256
Michael Harris II,Atlanta,55,20,86,20,0.268
Robert Hassell III,Washington,22,3,18,4,0.257
Ke\'Bryan Hayes,"Cincinnati,Pittsburgh",50,5,49,12,0.287
Austin Hays,Cincinnati,63,15,64,7,0.314
Austin Hedges,Cleveland,13,5,10,1,0.257
Jonah Heim,Texas,38,11,43,3,0.271
Tyler Heineman,Toronto,25,3,20,2,0.355
Michael Helman,Texas,18,5,20,4,0.29
Gunnar Henderson,Baltimore,85,17,68,30,0.349
Darell Hernaiz,Athletics,17,2,16,3,0.292
Enrique Hern\xc3\xa1ndez,Los Angeles,39,11,42,0,0.262
Heriberto Hern\xc3\xa1ndez,Miami,40,10,45,1,0.347
Teoscar Hern\xc3\xa1ndez,Los Angeles,73,30,102,5,0.287
Iv\xc3\xa1n Herrera,St. Louis,54,19,66,8,0.373
Jos\xc3\xa9 Herrera,Arizona,21,2,17,0,0.285
Jason Heyward,San Diego,9,2,12,0,0.223
Brewer Hicklen,Detroit,2,0,0,1,0.75
Liam Hicks,Miami,37,6,45,2,0.346
Kyle Higashioka,Texas,33,11,47,3,0.291
Derek Hill,"Chicago,Miami",19,3,11,7,0.281
Sam Hilliard,Colorado,8,2,3,2,0.328
Rece Hinds,Cincinnati,6,2,3,0,0.136
Keston Hiura,Colorado,3,0,1,0,0.333
Nico Hoerner,Chicago,93,8,63,30,0.349
Jackson Holliday,Baltimore,70,17,55,17,0.314
Spencer Horwitz,Pittsburgh,55,11,51,0,0.353
Rhys Hoskins,Milwaukee,30,12,43,2,0.332
Brady House,Washington,26,4,29,5,0.252
Sam Huff,San Francisco,5,2,4,0,0.259
Cooper Hummel,"Baltimore,Houston",10,3,7,1,0.298
Jacob Hurtubise,Cincinnati,3,0,0,0,0.267
Andy Ib\xc3\xa1\xc3\xb1ez,Detroit,24,4,22,4,0.304
Jose Iglesias,San Diego,29,3,36,5,0.296
Jonathan India,Kansas City,63,9,45,0,0.323
Kyle Isbel,Kansas City,42,4,33,4,0.301
Alex Jackson,Baltimore,17,5,8,0,0.29
Jeremiah Jackson,Baltimore,20,5,21,0,0.328
Travis Jankowski,"Chicago,New York,Tampa Bay",8,0,2,2,0.286
Danny Jansen,"Milwaukee,Tampa Bay",38,14,36,0,0.321
Ryan Jeffers,Minnesota,47,9,47,1,0.356
Carter Jensen,Kansas City,12,3,13,0,0.391
Leo Jimenez,Toronto,2,1,1,0,0.129
Connor Joe,"Cincinnati,San Diego",2,0,4,2,0.263
Bryce Johnson,San Diego,9,1,8,4,0.381
Daniel Johnson,"Baltimore,San Francisco",13,1,1,2,0.246
Troy Johnston,Miami,12,4,13,2,0.331
Greg Jones,Chicago,0,0,0,1,0.0
Jahmai Jones,Detroit,23,7,24,2,0.396
Nolan Jones,Cleveland,34,5,34,8,0.296
Aaron Judge,New York,142,54,121,12,0.462
Edouard Julien,Minnesota,13,3,12,0,0.309
Corey Julks,Chicago,2,0,1,0,0.231
Jace Jung,Detroit,8,0,3,0,0.236
Josh Jung,Texas,53,14,61,3,0.294
Connor Kaiser,Arizona,1,0,2,0,0.158
Kyle Karros,Colorado,20,1,9,0,0.308
Niko Kavadas,Los Angeles,0,0,0,0,0.217
CJ Kayfus,Cleveland,16,4,19,4,0.292
Luke Keaschall,Minnesota,25,4,28,14,0.382
DaShawn Keirsey Jr.,Minnesota,11,2,6,10,0.138
Colt Keith,Detroit,65,13,45,1,0.328
Jarred Kelenic,Atlanta,7,2,2,0,0.231
Carson Kelly,Chicago,50,18,51,2,0.326
Otto Kemp,Philadelphia,26,8,28,2,0.295
Buddy Kennedy,"Los Angeles,Philadelphia,Toronto",2,0,1,0,0.156
Max Kepler,Philadelphia,61,18,52,4,0.301
Carter Kieboom,Los Angeles,0,0,1,0,0.25
Ha-Seong Kim,"Atlanta,Tampa Bay",19,5,17,6,0.304
Hyeseong Kim,Los Angeles,19,3,17,13,0.314
Isiah Kiner-Falefa,"Pittsburgh,Toronto",49,2,42,16,0.289
Scott Kingery,Los Angeles,3,0,0,1,0.207
Alejandro Kirk,Toronto,56,20,89,1,0.348
Heston Kjerstad,Baltimore,16,4,19,1,0.24
Andrew Knizner,San Francisco,12,1,5,0,0.299
Christian Koss,San Francisco,25,3,23,4,0.309
Ryan Kreidler,Detroit,5,0,0,2,0.19
Nick Kurtz,Athletics,90,36,86,2,0.383
Steven Kwan,Cleveland,83,11,56,21,0.328
